number,name,artist,album,genres,duration,released
3,Too Nice,Mahalia,Isolation Tapes,"alternative r&b,chill r&b,dance pop,indie anthem-folk,indie soul,pop,r&b,uk contemporary r&b",176453,2020-05-01
1,Bittersweet,Lianne La Havas,Bittersweet,"british soul,indie soul,neo soul,pop soul,soul",236640,2020-02-25
1,Blind Man,Xavier Omär,Blind Man,"alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,trap soul",242195,2018-07-27
12,Can You Blame Me (feat. Lucky Daye),Kehlani,It Was Good Until It Wasn't,"dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary,alternative r&b,chill r&b,indie r&b,indie soul,pop r&b",183019,2020-05-08
2,Can I,Kehlani,It Was Good Until It Wasn't,"dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary",167810,2020-05-08
5,Water,Kehlani,It Was Good Until It Wasn't,"dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary",122813,2020-05-08
6,Change Your Life (feat. Jhené Aiko),Kehlani,It Was Good Until It Wasn't,"dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary,alternative r&b,dance pop,pop,r&b,urban contemporary",191128,2020-05-08
9,Hate The Club (feat. Masego),Kehlani,It Was Good Until It Wasn't,"dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary,alternative r&b,indie soul",278715,2020-05-08
10,Serial Lover,Kehlani,It Was Good Until It Wasn't,"dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary",145806,2020-05-08
1,How You Want It?,"Teyana Taylor, King Combs",How You Want It?,"alternative r&b,dance pop,hip pop,neo soul,pop,pop r&b,pop rap,r&b,urban contemporary,cali rap,pop r&b",222213,2019-08-02
1,Sunlight,Souly Had,Sunlight,"alternative r&b,chill r&b,pop,pop rap",158906,2019-12-06
2,Sweating Me,Jayla Darden,Onto Something,"alternative r&b,chill r&b,indie r&b,pop r&b,trap soul",155744,2019-11-05
6,Goofy,Jayla Darden,Onto Something,"alternative r&b,chill r&b,indie r&b,pop r&b,trap soul",147401,2019-11-05
1,NORTHSIDE,Ama Lou,NORTHSIDE,"alternative r&b,chill r&b,indie soul,uk contemporary r&b",209629,2019-10-02
4,Dancing,bLAck pARty,Endless Summer,"alternative r&b,indie r&b,indie soul",245720,2019-08-23
2,Sometimes,Snoh Aalegra,FEELS,"alternative r&b,chill r&b,indie r&b,indie soul,neo soul,r&b,scandinavian r&b,swedish soul,urban contemporary,conscious hip hop,dmv rap,hip hop,pop rap,rap",192280,2017-10-20
1,"Good To Know (feat. Masego, Kp & Ambriia)",Ciscero,"Good To Know (feat. Masego, Kp & Ambriia)","dmv rap,alternative r&b,indie soul",241755,2019-10-25
8,Love Songs - Bonus,Kaash Paige,Parked Car Convos,pop r&b,148640,2019-11-15
2,WMT,Kaash Paige,Parked Car Convos,pop r&b,147373,2019-11-15
3,64',Kaash Paige,Parked Car Convos,pop r&b,159000,2019-11-15
11,Whipped Cream,Ari Lennox,Shea Butter Baby,"alternative r&b,chill r&b,dmv rap,indie r&b,indie soul,neo soul,pop,r&b,urban contemporary",288531,2019-05-07
4,You're the One,Elaine,Elements,afro r&b,200347,2019-09-29
1,Remember Me,UMI,Remember Me,"alternative r&b,bedroom soul,chill r&b,indie r&b,pop",199226,2018-10-08
1,Picture Perfect,UMI,Picture Perfect,"alternative r&b,bedroom soul,chill r&b,indie r&b,pop",187157,2020-02-09
15,Play Too Much,Kyle Dion,SUGA (Deluxe),"alternative r&b,chill r&b,indie r&b,indie soul,trap soul,alternative r&b,escape room,indie r&b,underground hip hop,alternative r&b,bedroom soul,chill r&b,indie r&b,pop",197205,2020-02-28
1,Downers,Greentea Peng,Downers,"alternative r&b,indie r&b,indie soul,uk alternative hip hop,uk contemporary r&b",218888,2019-07-12
9,Faking It (feat. Kehlani & Lil Yachty),"Calvin Harris, Funk Wav",Funk Wav Bounces Vol.1,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary,atl hip hop,hip hop,melodic rap,rap,southern hip hop,trap,underground hip hop",240093,2017-06-30
10,Hard to Love (feat. Jessie Reyez),"Calvin Harris, Funk Wav",Funk Wav Bounces Vol.1,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,alt z,canadian contemporary r&b,canadian pop,dance pop,pop",230586,2017-06-30
2,Kickback,Omar Apollo,Friends,"alternative r&b,bedroom pop,bedroom soul,chill r&b,indie r&b,pop",171106,2019-04-10
1,Pack Lite,Queen Naija,Pack Lite,"dance pop,pop,pop r&b,r&b,urban contemporary",176955,2020-07-24
7,Like I Want You,Giveon,TAKE TIME,pop,260776,2020-03-27
1,Candy Rain,Soul For Real,Candy Rain,"boy band,hip pop,new jack swing,quiet storm,r&b,urban contemporary",276066,1995-01-01
1,Early,"Joy Crookes, Jafaris",Early,"alternative r&b,indie r&b,indie soul,uk contemporary r&b,irish hip hop",193934,2019-10-04
1,Dead Man Walking,Brent Faiyaz,Dead Man Walking,"dmv rap,rap",247079,2020-09-18
2,Green & Gold,Lianne La Havas,Blood,"british soul,indie soul,neo soul,pop soul,soul",278200,2015-07-31
1,Where You Are,Savannah Ré,Where You Are,"alternative r&b,canadian contemporary r&b,chill r&b,indie r&b,pop r&b",185054,2020-07-23
3,Sharpness,Jamie Woon,Making Time,british soul,207133,2015-10-30
1,Back to the Streets (feat. Jhené Aiko),"Saweetie, Jhené Aiko",Back to the Streets (feat. Jhené Aiko),"cali rap,dance pop,pop,pop rap,post-teen pop,trap queen,alternative r&b,dance pop,pop,r&b,urban contemporary",189496,2020-10-23
11,F&MU,Kehlani,It Was Good Until It Wasn't,"dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary",134853,2020-05-08
10,Bad Blood,Nao,For All We Know,"alternative r&b,chill r&b,dance pop,indie r&b,indie soul,neo soul,r&b,uk contemporary r&b",240626,2016-07-29
1,Start It Up,Alex Mali,Start It Up,"alternative r&b,chill r&b,indie r&b,pop r&b",194400,2019-07-18
3,Rich Girl Mood,Dounia,The Avant-Garden,"alt z,alternative r&b,electropop,escape room,dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary",191750,2018-11-28
1,Baby Powder,Jenevieve,Baby Powder,"alternative r&b,chill r&b,indie r&b",180435,2020-03-25
7,Do U Wrong (feat. Syd),Leven Kali,Leven Kali: Low Tide,"alternative r&b,chill r&b,indie r&b,indie soul,alternative r&b,escape room,lgbtq+ hip hop",280266,2019-05-10
5,West Coast Love,Emotional Oranges,The Juice: Vol. II,"alternative r&b,indie r&b",215386,2019-11-08
